hashtag,timestamp,text,lang
ЧМ2018,2018-05-27 10:36:56,RT @fifaworldcup_ru: А вам удалось собрать выпущенные к #ЧМ2018 стикеры Panini с Официальными плакатами всех городов-организаторов турнира?…,ru
ЧМ2018,2018-05-27 10:31:45,"RT @bookierating: Министр спорта Египта: #Салах должен сыграть на #ЧМ2018. Восстановление займет 2 недели

Здоровья Мохамеду! https://t.co/…",ru
ЧМ2018,2018-05-27 10:31:40,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 10:30:00,А вам удалось собрать выпущенные к #ЧМ2018 стикеры Panini с Официальными плакатами всех городов-организаторов турни… https://t.co/BeMN0W49AU,ru
ЧМ2018,2018-05-27 10:28:43,"RT @InformNapalm: #Путин и Шойгу, #БУКваш. Бойкот #ЧМ2018
https://t.co/EZnqSDimNa https://t.co/Zo88TPHh8A",ru
ЧМ2018,2018-05-27 10:23:12,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 10:22:24,"Новый символ ЧМ2018 настолько точно передает природу России, что вот прямо честно хочется сказать, что редко когда… https://t.co/3YAHAdcYeB",ru
ЧМ2018,2018-05-27 10:20:00,"Министр спорта Египта: #Салах должен сыграть на #ЧМ2018. Восстановление займет 2 недели

Здоровья Мохамеду! https://t.co/VHfAbbdeoq",ru
ЧМ2018,2018-05-27 10:15:13,Коротко о нашей сборной на предстоящем чемпионате #футбол  #сборная #ЧМ2018 https://t.co/nXzM7Uddqy,ru
ЧМ2018,2018-05-27 10:08:03,"RT @bmxPIuvw13MxTQo: В.В.Путин:""В связи с выдвинутыми обвинениями по Боингу МН17,отравлению отца и дочери Скрипалей,по допингу росс спортсм…",ru
ЧМ2018,2018-05-27 10:07:38,"@CKonovalov Зря они так подставились - теперь нельзя, как с той рекламой ЧМ2018 на ж/д платформе, сказать, что это… https://t.co/scpavRFA32",ru
